IDINDEX,LATITUDE,LONGITUDE,MASL,SECONDS,STEPLENGTH,DATETIME,TrailRank
1500063,-15.20839,-72.94831,2462.044,3,3.224042,2007/07/15 12:04:43+00,0
1500067,-15.20839,-72.94834,2462.824,3,3.408622,2007/07/15 12:04:55+00,0
1500068,-15.20838,-72.94837,2462.711,3,3.408683,2007/07/15 12:04:58+00,0
1500069,-15.20837,-72.9484,2462.69,3,2.417601,2007/07/15 12:05:01+00,0
1500070,-15.20836,-72.94842,2463.269,3,3.408622,2007/07/15 12:05:04+00,0
1500071,-15.20835,-72.94845,2464.036,3,1.542717,2007/07/15 12:05:07+00,0
1500072,-15.20834,-72.94846,2468.287,3,3.408622,2007/07/15 12:05:10+00,0
1500073,-15.20833,-72.94849,2468.858,3,2.213397,2007/07/15 12:05:13+00,0
1500074,-15.20831,-72.94849,2469.98,3,3.085365,2007/07/15 12:05:16+00,0
1500075,-15.20829,-72.94851,2471.126,3,2.149294,2007/07/15 12:05:19+00,0
1500076,-15.20829,-72.94853,2472.933,3,3.085293,2007/07/15 12:05:22+00,0
1500077,-15.20827,-72.94855,2474.089,3,2.460578,2007/07/15 12:05:25+00,0
1500078,-15.20825,-72.94856,2474.947,3,1.542648,2007/07/15 12:05:28+00,0
1500079,-15.20824,-72.94857,2476.674,3,2.417554,2007/07/15 12:05:31+00,0
1500080,-15.20823,-72.94859,2476.302,3,1.542648,2007/07/15 12:05:34+00,0
1500081,-15.20822,-72.9486,2475.955,3,3.085365,2007/07/15 12:05:37+00,0
1500082,-15.2082,-72.94862,2475.609,3,2.460488,2007/07/15 12:05:40+00,0
1500083,-15.20818,-72.94863,2475.298,3,2.460578,2007/07/15 12:05:43+00,0
1500084,-15.20816,-72.94864,2474.964,3,0,2007/07/15 12:05:46+00,0
1500085,-15.20816,-72.94864,2474.667,3,0,2007/07/15 12:05:49+00,0
1500086,-15.20816,-72.94864,2474.541,3,0,2007/07/15 12:05:52+00,0
1500087,-15.20816,-72.94864,2474.574,3,1.074647,2007/07/15 12:05:55+00,0
1500088,-15.20816,-72.94865,2474.615,3,1.542717,2007/07/15 12:05:58+00,0
1500089,-15.20815,-72.94866,2474.691,3,2.417466,2007/07/15 12:06:01+00,0
1500090,-15.20814,-72.94868,2477.578,3,3.955243,2007/07/15 12:06:04+00,0
1500091,-15.20811,-72.9487,2479.546,3,1.542575,2007/07/15 12:06:07+00,0
1500092,-15.2081,-72.94871,2479.833,3,1.542648,2007/07/15 12:06:10+00,0
1500093,-15.20809,-72.94872,2479.739,3,3.085365,2007/07/15 12:06:13+00,0
1500094,-15.20807,-72.94874,2481.382,3,1.542648,2007/07/15 12:06:16+00,0
1500095,-15.20806,-72.94875,2481.428,3,1.106648,2007/07/15 12:06:19+00,0
1500096,-15.20805,-72.94875,2481.336,3,3.085365,2007/07/15 12:06:22+00,0
1500097,-15.20803,-72.94877,2481.278,3,2.417512,2007/07/15 12:06:25+00,0
1500098,-15.20802,-72.94879,2481.238,3,3.320146,2007/07/15 12:06:28+00,0
1500099,-15.20799,-72.94879,2482.514,3,2.417601,2007/07/15 12:06:31+00,0
1500100,-15.20798,-72.94881,2483.397,3,0,2007/07/15 12:06:34+00,0
1500101,-15.20798,-72.94881,2483.195,3,0,2007/07/15 12:06:37+00,0
1500102,-15.20798,-72.94881,2483.156,3,0,2007/07/15 12:06:40+00,0
1500103,-15.20798,-72.94881,2483.147,3,1.106748,2007/07/15 12:06:43+00,0
1500104,-15.20797,-72.94881,2483.166,3,1.106748,2007/07/15 12:06:46+00,0
1500105,-15.20798,-72.94881,2483.2,3,1.074647,2007/07/15 12:06:49+00,0
1500106,-15.20798,-72.9488,2483.233,3,0,2007/07/15 12:06:52+00,0
1500107,-15.20798,-72.9488,2483.281,3,2.417512,2007/07/15 12:06:55+00,0
1500108,-15.20797,-72.94882,2483.291,3,1.542644,2007/07/15 12:06:58+00,0
1500109,-15.20796,-72.94883,2483.542,3,2.460578,2007/07/15 12:07:01+00,0
1500110,-15.20794,-72.94884,2484.095,3,3.085224,2007/07/15 12:07:04+00,0
1500111,-15.20792,-72.94886,2484.645,3,4.835202,2007/07/15 12:07:07+00,0
1500112,-15.2079,-72.9489,2486.868,3,3.91062,2007/07/15 12:07:10+00,0
